11,11029,997,362,355,0,1,0,0,829,0,2,0,2,0,71,11348
12,12029,1075,394,385,0,1,0,0,898,0,2,0,2,0,71,11348
13,13030,1154,427,414,0,1,0,0,965,0,2,0,2,0,71,11348
14,14045,1232,461,444,0,1,0,0,1037,0,2,0,2,0,71,11348
15,15054,1311,494,473,0,1,0,0,1104,0,2,0,2,0,71,11348
16,16055,1389,526,503,0,1,0,0,1173,0,2,0,2,0,71,11348
17,17056,1468,559,532,0,1,0,0,1244,0,2,0,2,0,71,11348
18,18064,1547,593,562,0,1,0,0,1312,0,2,0,2,0,71,11348
19,19064,1625,625,591,0,1,0,0,1381,0,2,0,2,0,71,11348
20,20065,1704,658,621,0,1,0,0,1448,0,2,0,2,0,71,11348
21,21066,1782,691,651,0,1,0,0,1520,0,2,0,2,0,71,11348
22,22066,1861,724,680,0,1,0,0,1587,0,2,0,2,0,71,11348
23,23074,1939,757,710,0,1,0,0,1656,0,2,0,2,0,71,11348
24,24075,2018,789,739,0,1,0,0,1726,0,2,0,2,0,71,11348
25,25076,2096,823,769,0,1,0,0,1795,0,2,0,2,0,71,11348
26,26085,2175,856,798,0,1,0,0,1863,0,2,0,2,0,71,11348
27,27086,2254,888,828,0,1,0,0,1931,0,2,0,2,0,71,11348
28,28087,2332,922,857,0,1,0,0,2003,0,2,0,2,0,71,11348
29,29096,2411,955,887,0,1,0,0,2070,0,2,0,2,0,71,11348
30,30096,2489,987,917,0,1,0,0,2139,0,2,0,2,0,71,11348
31,31100,2568,1021,946,0,1,0,0,2209,0,2,0,2,0,71,11348
32,32100,2646,1053,976,0,1,0,0,2278,0,2,0,2,0,71,11348
33,33101,2725,1086,1005,0,1,0,0,2345,0,2,0,2,0,71,11348
34,34108,2804,1119,1035,0,1,0,0,2414,0,2,0,2,0,71,11348
35,35109,2882,1152,1064,0,1,0,0,2484,0,2,0,2,0,71,11348
36,36110,2961,1185,1094,0,1,0,0,2553,0,2,0,2,0,71,11348
37,37110,3039,1217,1123,0,1,0,0,2620,0,2,0,2,0,71,11348
38,38110,3118,1251,1152,0,1,0,0,2692,0,2,0,2,0,1,11348
39,39111,3196,1283,1182,0,1,0,0,2759,0,2,0,2,0,2,11348
40,40112,3275,1316,1212,0,1,0,0,2828,0,2,0,2,0,4,11348
41,41119,3354,1349,1241,0,1,0,0,2896,0,2,0,2,0,6,11348
42,42120,3432,1382,1271,0,1,0,0,2967,0,2,0,2,0,7,11348
43,43121,3511,1415,1300,0,1,0,0,3036,0,2,0,2,0,9,11348
44,44121,3589,1447,1330,0,1,0,0,3103,0,2,0,2,0,10,11348
45,45121,3668,1481,1359,0,1,0,0,3172,0,2,0,2,0,11,11348
46,46121,3747,1513,1389,0,1,0,0,3242,0,2,0,2,0,13,11348
47,47122,3825,1546,1418,0,1,0,0,3311,0,2,0,2,0,14,11348
48,48130,3904,1579,1448,0,1,0,0,3378,0,2,0,2,0,15,11348
49,49131,3982,1612,1478,0,1,0,0,3450,0,2,0,2,0,16,11348
50,50132,4061,1645,1507,0,1,0,0,3517,0,2,0,2,0,17,11348
51,51141,4139,1678,1537,0,1,0,0,3586,0,2,0,2,0,19,11348
52,52141,4218,1711,1566,0,1,0,0,3653,0,2,0,2,0,20,11348
53,53141,4296,1744,1596,0,1,0,0,3725,0,2,0,2,0,20,11348
54,54142,4375,1776,1625,0,1,0,0,3793,0,2,0,2,0,21,11348
55,55142,4454,1809,1655,0,1,0,0,3861,0,2,0,2,0,22,11348
56,56151,4532,1843,1684,0,1,0,0,3933,0,2,0,2,0,23,11348
57,57151,4611,1875,1714,0,1,0,0,4000,0,2,0,2,0,24,11348
58,58152,4689,1908,1744,0,1,0,0,4069,0,2,0,2,0,25,11348
59,59160,4768,1942,1773,0,1,0,0,4136,0,2,0,2,0,26,11348
60,60160,4846,1974,1803,0,1,0,0,4208,0,2,0,2,0,26,11348
61,61161,4925,2007,1832,0,1,0,0,4275,0,2,0,2,0,27,11348
62,62161,5004,2039,1862,0,1,0,0,4344,0,2,0,2,0,28,11348
63,63161,5082,2073,1891,0,1,0,0,4415,0,2,0,2,0,29,11348
64,64169,5161,2106,1921,0,1,0,0,4483,0,2,0,2,0,29,11348
65,65170,5239,2138,1950,0,1,0,0,4552,0,2,0,2,0,30,11348
66,66170,5318,2172,1980,0,1,0,0,4619,0,2,0,2,0,30,11348
67,67170,5396,2204,2010,0,1,0,0,4691,0,2,0,2,0,31,11348
68,68171,5475,2237,2039,0,1,0,0,4758,0,2,0,2,0,32,11348
69,69186,5554,2271,2069,0,1,0,0,4827,0,2,0,2,0,32,11348
70,70186,5632,2303,2098,0,1,0,0,4897,0,2,0,2,0,33,11348
71,71187,5711,2336,2128,0,1,0,0,4966,0,2,0,2,0,33,11348
72,72194,5789,2369,2157,0,1,0,0,5033,0,2,0,2,0,34,11348
73,73195,5868,2402,2187,0,1,0,0,5102,0,2,0,2,0,34,11348
74,74195,5946,2435,2216,0,1,0,0,5173,0,2,0,2,0,35,11348
75,75196,6025,2467,2246,0,1,0,0,5241,0,2,0,2,0,0,11348
