11,11026,996,325,354,0,1,0,0,354,0,2,0,2,0,72,6288
12,12027,1074,354,383,0,1,0,0,383,0,2,0,2,0,72,6288
13,13030,1153,384,412,0,1,0,0,413,0,2,0,2,0,72,6288
14,14030,1231,413,442,0,1,0,0,442,0,2,0,2,0,72,6288
15,15035,1310,443,471,0,1,0,0,472,0,2,0,2,0,72,6288
16,16035,1388,472,501,0,1,0,0,501,0,2,0,2,0,72,6288
17,17040,1467,502,530,0,1,0,0,530,0,2,0,2,0,72,6288
18,18041,1546,531,560,0,1,0,0,560,0,2,0,2,0,72,6288
19,19044,1624,561,589,0,1,0,0,589,0,2,0,2,0,72,6288
20,20045,1703,590,618,0,1,0,0,619,0,2,0,2,0,72,6288
21,21047,1781,620,648,0,1,0,0,648,0,2,0,2,0,72,6288
22,22048,1860,649,677,0,1,0,0,678,0,2,0,2,0,72,6288
23,23050,1938,679,707,0,1,0,0,707,0,2,0,2,0,72,6288
24,24051,2017,708,736,0,1,0,0,737,0,2,0,2,0,72,6288
25,25053,2095,738,766,0,1,0,0,766,0,2,0,2,0,72,6288
26,26054,2174,767,795,0,1,0,0,795,0,2,0,2,0,72,6288
27,27057,2252,797,825,0,1,0,0,825,0,2,0,2,0,72,6288
28,28058,2331,826,854,0,1,0,0,854,0,2,0,2,0,72,6288
29,29061,2409,856,884,0,1,0,0,884,0,2,0,2,0,72,6288
30,30062,2488,885,913,0,1,0,0,913,0,2,0,2,0,72,6288
31,31065,2567,915,942,0,1,0,0,943,0,2,0,2,0,72,6288
32,32065,2645,944,972,0,1,0,0,972,0,2,0,2,0,72,6288
33,33068,2724,974,1001,0,1,0,0,1002,0,2,0,2,0,72,6288
34,34068,2802,1003,1031,0,1,0,0,1031,0,2,0,2,0,72,6288
35,35071,2881,1033,1060,0,1,0,0,1061,0,2,0,2,0,72,6288
36,36071,2959,1062,1090,0,1,0,0,1090,0,2,0,2,0,72,6288
37,37074,3038,1092,1119,0,1,0,0,1119,0,2,0,2,0,72,6288
38,38075,3116,1121,1149,0,1,0,0,1149,0,2,0,2,0,1,6288
39,39078,3195,1151,1178,0,1,0,0,1178,0,2,0,2,0,3,6288
40,40079,3274,1180,1208,0,1,0,0,1208,0,2,0,2,0,5,6288
41,41082,3352,1210,1237,0,1,0,0,1237,0,2,0,2,0,6,6288
42,42083,3431,1239,1266,0,1,0,0,1267,0,2,0,2,0,8,6288
43,43085,3509,1269,1296,0,1,0,0,1296,0,2,0,2,0,9,6288
44,44086,3588,1298,1325,0,1,0,0,1326,0,2,0,2,0,11,6288
45,45088,3666,1328,1355,0,1,0,0,1355,0,2,0,2,0,12,6288
46,46089,3745,1357,1384,0,1,0,0,1384,0,2,0,2,0,13,6288
47,47092,3823,1387,1414,0,1,0,0,1414,0,2,0,2,0,15,6288
48,48093,3902,1416,1443,0,1,0,0,1443,0,2,0,2,0,16,6288
49,49096,3980,1446,1473,0,1,0,0,1473,0,2,0,2,0,17,6288
50,50097,4059,1475,1502,0,1,0,0,1502,0,2,0,2,0,18,6288
51,51100,4138,1505,1531,0,1,0,0,1532,0,2,0,2,0,19,6288
52,52100,4216,1534,1561,0,1,0,0,1561,0,2,0,2,0,20,6288
53,53103,4295,1564,1590,0,1,0,0,1591,0,2,0,2,0,21,6288
54,54103,4373,1593,1620,0,1,0,0,1620,0,2,0,2,0,22,6288
55,55106,4452,1623,1649,0,1,0,0,1650,0,2,0,2,0,23,6288
56,56106,4530,1652,1679,0,1,0,0,1679,0,2,0,2,0,24,6288
57,57109,4609,1682,1708,0,1,0,0,1708,0,2,0,2,0,25,6288
58,58110,4687,1711,1738,0,1,0,0,1738,0,2,0,2,0,26,6288
59,59113,4766,1741,1767,0,1,0,0,1767,0,2,0,2,0,26,6288
60,60114,4845,1770,1797,0,1,0,0,1797,0,2,0,2,0,27,6288
61,61117,4923,1800,1826,0,1,0,0,1826,0,2,0,2,0,28,6288
62,62118,5002,1829,1855,0,1,0,0,1856,0,2,0,2,0,29,6288
63,63120,5080,1859,1885,0,1,0,0,1885,0,2,0,2,0,29,6288
64,64121,5159,1888,1914,0,1,0,0,1915,0,2,0,2,0,30,6288
65,65123,5237,1918,1944,0,1,0,0,1944,0,2,0,2,0,31,6288
66,66124,5316,1947,1973,0,1,0,0,1973,0,2,0,2,0,31,6288
67,67127,5394,1977,2003,0,1,0,0,2003,0,2,0,2,0,32,6288
68,68128,5473,2006,2032,0,1,0,0,2032,0,2,0,2,0,32,6288
69,69131,5551,2036,2062,0,1,0,0,2062,0,2,0,2,0,33,6288
70,70132,5630,2065,2091,0,1,0,0,2091,0,2,0,2,0,33,6288
71,71135,5709,2095,2120,0,1,0,0,2121,0,2,0,2,0,34,6288
72,72135,5787,2124,2150,0,1,0,0,2150,0,2,0,2,0,35,6288
73,73138,5866,2154,2179,0,1,0,0,2180,0,2,0,2,0,35,6288
74,74138,5944,2183,2209,0,1,0,0,2209,0,2,0,2,0,36,6288
75,75141,6023,2213,2238,0,1,0,0,2239,0,2,0,2,0,0,6288
76,76141,6101,2242,2268,0,1,0,0,2268,0,2,0,2,0,1,6288
77,77144,6180,2272,2297,0,1,0,0,2297,0,2,0,2,0,2,6288
78,78145,6258,2301,2327,0,1,0,0,2327,0,2,0,2,0,3,6288
79,79148,6337,2331,2356,0,1,0,0,2356,0,2,0,2,0,4,6288
80,80149,6416,2360,2386,0,1,0,0,2386,0,2,0,2,0,5,6288
81,81152,6494,2390,2415,0,1,0,0,2415,0,2,0,2,0,6,6288
82,82153,6573,2419,2444,0,1,0,0,2445,0,2,0,2,0,6,6288
83,83155,6651,2449,2474,0,1,0,0,2474,0,2,0,2,0,7,6288
