11,11329,998,296,314,0,1,0,0,2330,0,2,0,2,0,3,12184
12,12359,1076,323,340,0,1,0,0,2521,0,2,0,2,0,3,12184
13,13390,1155,350,366,0,1,0,0,2705,0,2,0,2,0,3,12184
14,14422,1234,377,393,0,1,0,0,2913,0,2,0,2,0,3,12184
15,15453,1312,404,419,0,1,0,0,3097,0,2,0,2,0,3,12184
16,16483,1391,431,445,0,1,0,0,3287,0,2,0,2,0,3,12184
17,17516,1469,458,471,0,1,0,0,3493,0,2,0,2,0,3,12184
18,18547,1548,485,498,0,1,0,0,3677,0,2,0,2,0,3,12184
19,19576,1627,512,524,0,1,0,0,3869,0,2,0,2,0,3,12184
20,20610,1705,539,550,0,1,0,0,4069,0,2,0,2,0,3,12184
21,21640,1784,566,576,0,1,0,0,4255,0,2,0,2,0,3,12184
22,22671,1862,593,602,0,1,0,0,4451,0,2,0,2,0,3,12184
23,23702,1941,620,628,0,1,0,0,4648,0,2,0,2,0,3,12184
24,24732,2021,647,655,0,1,0,0,4831,0,2,0,2,0,3,12184
25,25740,2099,735,685,0,1,0,0,5188,0,2,0,2,0,5,12184
26,26741,2178,846,716,0,1,0,0,5464,0,2,0,2,0,6,12184
27,27741,2257,939,746,0,1,0,0,5666,0,2,0,2,0,7,12184
28,28743,2335,1053,775,0,1,0,0,6045,0,2,0,2,0,8,12184
29,29743,2414,1158,805,0,1,0,0,6280,0,2,0,2,0,9,12184
30,30743,2492,1251,835,0,1,0,0,6514,0,2,0,2,0,10,12184
31,31768,2571,1371,865,0,1,0,0,6904,0,2,0,2,0,11,12184
32,32782,2649,1473,895,0,1,0,0,7123,0,2,0,2,0,12,12184
33,33784,2728,1570,925,0,1,0,0,7375,0,2,0,2,0,13,12184
34,34792,2806,1692,954,0,1,0,0,7722,0,2,0,2,0,14,12184
35,35793,2885,1785,985,0,1,0,0,7941,0,2,0,2,0,15,12184
36,36796,2964,1888,1014,0,1,0,0,8247,0,2,0,2,0,15,12184
37,37805,3042,2004,1044,0,1,0,0,8565,0,2,0,2,0,16,12184
38,38806,3121,2097,1075,0,1,0,0,8777,0,2,0,2,0,17,12184
39,39810,3199,2206,1104,0,1,0,0,9100,0,2,0,2,0,17,12184
40,40815,3278,2316,1134,0,1,0,0,9379,0,2,0,2,0,18,12184
41,41815,3357,2409,1164,0,1,0,0,9598,0,2,0,2,0,18,12184
42,42826,3435,2525,1194,0,1,0,0,9991,0,2,0,2,0,19,12184
43,43826,3514,2628,1224,0,1,0,0,10220,0,2,0,2,0,19,12184
44,44826,3592,2721,1254,0,1,0,0,10452,0,2,0,2,0,20,12184
45,45833,3671,2843,1284,0,1,0,0,10821,0,2,0,2,0,20,12184
46,46833,3749,2940,1314,0,1,0,0,11040,0,2,0,2,0,21,12184
47,47835,3828,3038,1343,0,1,0,0,11307,0,2,0,2,0,21,12184
